agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_anneal_steps,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_initial_q_value,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_policy,param_agent_r_max,param_agent_step_size,param_agent_target_update_freq,param_agent_use_scheduler,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
BMFRmaxAgent,sweep_c44,10,0.9983780384063721,0.0010586353620755933,0.0003347698955755912,0.9956105947494508,0.9991438984870912,0.9986127018928528,0.9981670379638671,0.9990813285112382,,BMFRmaxAgent,,0.99,,,,,,,82.0,,,,0.01,0.996004,,,64.0,ReplayBuffer,,0.0,0.0,2048.0,64.0,1.0,8.0,0.0,1000000.0,1.0,True,128.0
BMFRmaxAgent,sweep_c75,10,0.9952859997749328,0.0019456895596141716,0.0006152810627990747,0.9918494820594788,0.9974102973937988,0.9955344498157501,0.9943955987691879,0.9968511909246445,,BMFRmaxAgent,,0.99,,,,,,,26.0,,,,0.01,0.0803886,,,1024.0,ReplayBuffer,,0.0,0.0,2048.0,128.0,1.0,7.0,0.0,1000000.0,1.0,True,64.0
BMFRmaxAgent,sweep_c85,10,0.9939678072929382,0.005506826906858584,0.0017414115705973036,0.9786749482154846,0.9971486330032348,0.9956843852996826,0.994274690747261,0.9965800642967224,,BMFRmaxAgent,,0.99,,,,,,,78.0,,,,0.01,0.82547,,,1024.0,ReplayBuffer,,0.0,0.0,2048.0,128.0,1.0,7.0,0.0,1000000.0,2.0,True,2048.0
BMFRmaxAgent,sweep_c39,10,0.9895377516746521,0.0029669835377762574,0.0009382425759597203,0.9853132963180542,0.9931818842887878,0.989654004573822,0.9868617653846742,0.9922535270452499,,BMFRmaxAgent,,0.99,,,,,,,91.0,,,,0.01,0.0221007,,,2048.0,ReplayBuffer,,0.0,0.0,2048.0,1024.0,1.0,2.0,0.0,1000000.0,3.0,True,128.0
BMFRmaxAgent,sweep_c73,10,0.9874765813350678,0.002880347615991328,0.0009108458919568625,0.9834777116775512,0.9933838248252868,0.9871792793273926,0.9864394813776016,0.9887884557247161,,BMFRmaxAgent,,0.99,,,,,,,19.0,,,,0.01,0.889135,,,1024.0,ReplayBuffer,,0.0,0.0,2048.0,1024.0,1.0,7.0,0.0,1000000.0,41.0,True,2048.0
BMFRmaxAgent,sweep_c97,10,0.9710176765918732,0.03454052852662063,0.010922674173014103,0.8818994760513306,0.994060754776001,0.9832831621170044,0.9815762937068939,0.9877900034189225,,BMFRmaxAgent,,0.99,,,,,,,92.0,,,,0.01,0.809946,,,1024.0,ReplayBuffer,,0.0,0.0,2048.0,256.0,1.0,1.0,0.0,1000000.0,9.0,True,128.0
DQNAgent,sweep_c39,10,0.893578827381134,0.045804010744917446,0.014484499992476484,0.8193832635879517,0.9514365196228028,0.9099403023719788,0.8598690181970596,0.9253885895013809,,DQNAgent,,0.99,369052.0,0.18863,0.344701,,,,,6.203e-05,13.5549,,,,64.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,128.0,1.0,0.0,0.0,1000000.0,8.0,True,256.0
DQNAgent,sweep_c13,10,0.8867647528648377,0.13304372820909074,0.04207212095411213,0.6216867566108704,0.9905560612678528,0.9544636011123657,0.8599523603916168,0.9741018712520599,,DQNAgent,,0.99,449435.0,0.14347,0.343535,,,,,0.0001351,0.773988,,,,512.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,32.0,1.0,9.0,0.0,1000000.0,2.0,True,4.0
DQNAgent,sweep_c25,10,0.8098771512508393,0.1647075777792603,0.052085109367180055,0.4348484873771667,0.9289798140525818,0.8762725293636322,0.77118019759655,0.921593964099884,,DQNAgent,,0.99,317658.0,0.219424,0.919462,,,,,0.000170539,13.2697,,,,64.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,512.0,1.0,7.0,0.0,1000000.0,20.0,True,256.0
QLearningAgent,sweep_c1,10,0.6885410934686661,0.16170299433373808,0.05113497665639139,0.4107142984867096,0.8512685894966125,0.7373912036418915,0.5501401424407959,0.8259742110967636,436081.0,QLearningAgent,,0.99,,,,0.227166,0.640149,0.0,,,,epsilon_greedy,,0.727544,,True,1.0,ReplayBuffer,,0.0,0.0,2048.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
DQNAgent,sweep_c3,10,0.586807769536972,0.01599574899783109,0.0050582999713501995,0.5628742575645447,0.6164772510528564,0.5839636325836182,0.5773909389972687,0.5938458740711212,,DQNAgent,,0.99,454671.0,0.0506525,0.976624,,,,,0.0367329,3.98134,,,,16384.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,16.0,1.0,7.0,0.0,1000000.0,6.0,True,4096.0
QLearningAgent,sweep_c22,10,0.5584176927804947,0.17677985958610398,0.055902700073683954,0.3858615756034851,0.8719750046730042,0.45550186932086945,0.4211139157414436,0.7080620676279068,484961.0,QLearningAgent,,0.99,,,,0.212183,0.889722,0.0,,,,epsilon_greedy,,0.493769,,True,1.0,ReplayBuffer,,0.0,0.0,2048.0,1.0,1.0,5.0,0.0,1000000.0,1.0,True,0.0
DQNAgent,sweep_c91,10,0.5421192735433579,0.0237421127229083,0.007507915266885236,0.4968354403972626,0.5838414430618286,0.5473651885986328,0.5315824151039124,0.5535667687654495,,DQNAgent,,0.99,380901.0,0.0479569,0.350636,,,,,0.0468724,0.807281,,,,8192.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,2048.0,1.0,9.0,0.0,1000000.0,30.0,True,256.0
QLearningAgent,sweep_c97,10,0.5067102998495102,0.24637210795183762,0.07790970130646883,0.2606473565101623,0.8931189775466919,0.40330958366394043,0.34771541506052017,0.7305107191205025,357478.0,QLearningAgent,,0.99,,,,0.0397717,0.403881,0.0,,,,epsilon_greedy,,0.854982,,True,1.0,ReplayBuffer,,0.0,0.0,2048.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
DQNAgent,sweep_c93,10,0.4963594973087311,0.036625833548967764,0.01158210552169463,0.4276206195354461,0.5479876399040222,0.504033237695694,0.4737767577171325,0.5180361568927765,,DQNAgent,,0.99,207816.0,0.203996,0.691308,,,,,0.0123039,14.3879,,,,64.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,2048.0,1.0,4.0,0.0,1000000.0,15.0,True,8.0
QLearningAgent,sweep_c61,10,0.4891168653964996,0.04596559713032678,0.014535598094153213,0.4157650768756866,0.5674232244491577,0.4951205253601074,0.4687604159116745,0.5082497447729111,381399.0,QLearningAgent,,0.99,,,,0.0132828,0.743162,0.0,,,,epsilon_greedy,,0.994676,,True,1.0,ReplayBuffer,,0.0,0.0,2048.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
QLearningAgent,sweep_c78,10,0.45942932963371275,0.14960217644843216,0.0473083620495445,0.3285256326198578,0.7046714425086975,0.3826117068529129,0.35798218101263046,0.5726246312260628,288563.0,QLearningAgent,,0.99,,,,0.0382962,0.502672,0.0,,,,epsilon_greedy,,0.846557,,True,1.0,ReplayBuffer,,0.0,0.0,2048.0,1.0,1.0,8.0,0.0,1000000.0,1.0,True,0.0
DQNAgent,sweep_c43,10,0.4269504755735397,0.018564396911891854,0.005870577762897446,0.4013378024101257,0.4668820798397064,0.42565181851387024,0.4142984673380852,0.43524972349405283,,DQNAgent,,0.99,19595.0,0.161607,0.929306,,,,,0.0649879,2.31067,,,,16384.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,64.0,1.0,1.0,0.0,1000000.0,25.0,True,1024.0
DQNAgent,sweep_c54,10,0.4253179103136063,0.02324939351400707,0.007352103772180816,0.3877550959587097,0.4555920958518982,0.41948470473289484,0.409118227660656,0.4475176930427551,,DQNAgent,,0.99,273109.0,0.15734,0.776705,,,,,0.0230501,0.668948,,,,512.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,2048.0,1.0,2.0,0.0,1000000.0,24.0,True,8192.0
QLearningAgent,sweep_c64,10,0.404050213098526,0.23599367513518102,0.07462775268210169,0.1468401551246643,0.8901004195213318,0.3181399703025818,0.23606396466493607,0.5550732910633087,100855.0,QLearningAgent,,0.99,,,,0.0801844,0.773033,0.0,,,,epsilon_greedy,,0.83364,,True,1.0,ReplayBuffer,,0.0,0.0,2048.0,1.0,1.0,1.0,0.0,1000000.0,1.0,True,0.0
DQNAgent,sweep_c49,10,0.40404786318540575,0.3320283867246261,0.10499659498810324,0.0460000000894069,0.8757764101028442,0.425889328122139,0.08787222020328038,0.6689351499080658,,DQNAgent,,0.99,491484.0,0.017456,0.568576,,,,,8.33295e-05,3.66038,,,,256.0,,131072.0,FlatteningReplayBuffer,"(16, 16, 3)",0.0,0.0,2048.0,512.0,1.0,8.0,0.0,1000000.0,4.0,True,2.0
