agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c188,5,0.9475858926773071,0.0003641927455934752,0.0001628719472118595,0.9471693634986876,0.9479827880859376,0.9475675225257874,0.9472898840904236,0.9479199051856996,DRMAgent,0.99,,,,5.0,204.0,0.00043811,15.5781,,,1.0,128.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,2,1,0,1000000,2,True,8
DRMAgent,sweep_c125,5,0.9459248661994935,0.0009085443782219425,0.0004063133980559086,0.9444881081581116,0.9469085931777954,0.9461971521377563,0.9457157850265504,0.9463146924972534,DRMAgent,0.99,,,,5.0,294.0,0.0011876,7.13305,,,1.0,256.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,2,0,0,1000000,1,True,1
DRMAgent,sweep_c164,5,0.9424661159515381,0.004697002972127277,0.002100563587239028,0.9371796250343324,0.9470822811126708,0.9429794549942015,0.938144862651825,0.9469443559646606,DRMAgent,0.99,,,,5.0,474.0,1.34745e-06,0.482096,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,8,0,0,1000000,1,True,1024
DRMAgent,sweep_c33,5,0.9406525015830993,0.0012839299855541483,0.0005741909452098797,0.9394586086273192,0.942402958869934,0.939959704875946,0.93982195854187,0.9416192770004272,DRMAgent,0.99,,,,5.0,473.0,0.000182289,0.534725,,,1.0,128.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,2,3,0,1000000,4,True,1024
DRMAgent,sweep_c176,5,0.9400852441787719,0.0027734643336699977,0.0012403309566514547,0.936144769191742,0.9437551498413086,0.9400680661201476,0.9392987489700316,0.94115948677063,DRMAgent,0.99,,,,5.0,422.0,6.96002e-05,0.859822,,,1.0,64.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,8,2,0,1000000,2,True,4096
DQNAgent,sweep_c40,5,0.9431048512458802,0.0018491712316665348,0.0008269745152086767,0.9398193359375,0.944218933582306,0.9438972473144532,0.9436166286468506,0.943972110748291,DQNAgent,0.99,119012.0,0.0114346,0.908227,,,3.03654e-06,0.908577,,,,256.0,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,2048,2,0,0,1000000,4,True,4096
DQNAgent,sweep_c52,5,0.9423305988311768,0.0012282988114099733,0.000549311927798979,0.9402973651885986,0.943634271621704,0.94258052110672,0.942461371421814,0.9426794648170472,DQNAgent,0.99,45056.0,0.0420173,0.924289,,,6.76527e-06,8.37126,,,,128.0,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,1024,1,2,0,1000000,2,True,4096
DQNAgent,sweep_c192,5,0.9422397375106811,0.00018053252939616,8.073660157595856e-05,0.9419681429862976,0.942444145679474,0.9422882199287416,0.9421706795692444,0.9423274993896484,DQNAgent,0.99,260760.0,0.0173158,0.686565,,,8.52115e-05,12.7794,,,,64.0,,,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,4,4,0,1000000,2,True,2
DQNAgent,sweep_c137,5,0.9420998811721801,0.001368663318052662,0.0006120848434952333,0.9399780631065368,0.9435005784034728,0.9424742460250854,0.9416295886039734,0.9429169297218324,DQNAgent,0.99,21018.0,0.0566842,0.87686,,,1.29177e-06,15.5647,,,,64.0,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,8,3,0,1000000,2,True,4096
DQNAgent,sweep_c96,5,0.9420122861862182,0.0005860280518148399,0.0002620797121159502,0.941345751285553,0.9426009058952332,0.94227135181427,0.9414219856262208,0.9424214363098145,DQNAgent,0.99,31504.0,0.0703504,0.311884,,,8.4164e-06,7.13305,,,,256.0,,,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,2,2,0,1000000,1,True,1
NFQAgent,sweep_c22,5,0.9289821863174439,0.007562175172448076,0.0033819075486710183,0.9157487154006958,0.9347800016403198,0.931776762008667,0.9304580092430116,0.9321474432945251,NFQAgent,0.99,295337.0,0.0524506,0.669301,,,7.91865e-06,12.2776,,1.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,2048,4,0,0,1000000,4,True,8192
NFQAgent,sweep_c151,5,0.9095136523246765,0.03618265695250489,0.01618137611047126,0.8679399490356445,0.93837308883667,0.9322786927223206,0.8720325827598572,0.9369439482688904,NFQAgent,0.99,198056.0,0.0807985,0.78198,,,4.3017e-06,2.16485,,19.0,,,,,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,8,1,0,1000000,4,True,32
NFQAgent,sweep_c115,5,0.8989904642105102,0.01873022175985293,0.008376409817735377,0.8689230680465698,0.913298726081848,0.9073145389556884,0.8927686810493469,0.912647306919098,NFQAgent,0.99,470216.0,0.188748,0.799671,,,2.23428e-05,16.2331,,52.0,,,,,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,8,True,64
NFQAgent,sweep_c196,5,0.8698784947395325,0.04016165963266419,0.01796084020556927,0.8285865187644958,0.935585618019104,0.862169086933136,0.8507923483848572,0.8722589015960693,NFQAgent,0.99,88284.0,0.153689,0.309884,,,3.03359e-06,14.3812,,104.0,,,,,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,0,0,1000000,8,True,64
